gastos idade tempo expostos sinistros
130641.15 63 6 246 887
47704.13 64 6 198 556
67244.69 65 6 152 512
56553.72 66 6 141 394
17157.87 67 6 85 322
8221.42 68 6 70 154
16452.13 69 6 46 174
4505.65 70 6 40 142
6149.45 71 6 29 78
905.85 72 6 13 22
2449.1 73 6 15 42
2194.42 74 6 13 28
2098.63 75 6 8 31
482.73 76 6 9 10
1519.6 77 6 4 13
1701.9 78 6 3 16
0 79 6 0 0
36161.36 80 6 3 8
0 81 6 3 0
2509.72 82 6 4 91
4768.49 83 6 5 101
5541.16 84 6 2 2
1160.29 85 6 4 22
0 86 6 0 0
0 87 6 1 0
15.4 88 6 2 2
0 89 6 1 0
0 90 6 0 0
0 91 6 1 0
0 92 6 0 0
0 93 6 1 0
0 94 6 0 0
0 95 6 0 0
0 96 6 0 0
0 97 6 0 0
0 98 6 0 0
0 99 6 0 0
0 100 6 0 0
0 101 6 0 0
0 102 6 0 0
0 103 6 0 0
0 104 6 0 0
0 105 6 0 0
217355.95 1 7 1550 1994
108444.19 2 7 1629 2167
130104.26 3 7 1768 2310
116047.28 4 7 1554 2132
121452.2 5 7 1470 1843
99533.03 6 7 1510 1797
58492.27 7 7 1469 1496
65243.36 8 7 1388 1530
62239.95 9 7 1407 1493
150287.19 10 7 1352 1506
56815.73 11 7 1320 1414
46139.56 12 7 1258 1063
62435.75 13 7 1261 1402
77030.61 14 7 1243 1368
49317 15 7 1254 1168
84661.1 16 7 1189 1486
86353.99 17 7 1183 1355
69217.37 18 7 1195 1389
146732.12 19 7 1250 1564
145007.31 20 7 1435 1956
159828.25 21 7 1558 2271
145823.19 22 7 1525 2363
156172.37 23 7 1572 2333
282391.73 24 7 1689 2845
245946.81 25 7 1753 2697
257442.11 26 7 1932 3216
533732.08 27 7 1977 3448
452832.53 28 7 2224 3900
432513.15 29 7 2285 4271
432509.21 30 7 2310 4488
454788.58 31 7 2396 4767
441631.48 32 7 2513 4902
562610.08 33 7 2543 5206
428765.91 34 7 2192 4750
341251.25 35 7 2195 4563
434806.22 36 7 1954 4063
319579 37 7 1877 3869
456984.21 38 7 1773 3945
596442.84 39 7 1585 3085
451363.09 40 7 1518 3509
203518.03 41 7 1350 3079
293100.31 42 7 1312 2881
275921.45 43 7 1187 2896
240503.91 44 7 1094 2594
485595.04 45 7 1017 2710
199766.7 46 7 979 2428
166393.89 47 7 965 2490
332600.6 48 7 880 2499
202957.16 49 7 910 2504
249214.95 50 7 892 2780
411520.11 51 7 861 2470
174222.22 52 7 783 2207
372061.54 53 7 719 2600
367703.12 54 7 706 2108
300593.73 55 7 646 2614
426337.28 56 7 655 2415
264747 57 7 629 2550
106072.42 58 7 543 1687
130341.48 59 7 492 1686
651123.15 60 7 475 1678
154234.64 61 7 350 1356
340613.22 62 7 330 1230
86401.65 63 7 297 1042
52265.91 64 7 234 606
77679.94 65 7 185 712
59104.45 66 7 133 447
48984.89 67 7 126 416
247384.5 68 7 73 349
56097.39 69 7 64 295
9841.84 70 7 44 210
15263.4 71 7 34 161
171515.59 72 7 28 184
1441.11 73 7 13 14
35599.8 74 7 15 56
2247.51 75 7 11 49
7537.65 76 7 4 23
2216.41 77 7 7 59
759.93 78 7 3 12
367.32 79 7 4 20
62.52 80 7 1 1
803.89 81 7 3 16
264.08 82 7 3 13
0 83 7 3 0
482.08 84 7 5 22
0 85 7 2 0
1229.02 86 7 4 46
0 87 7 0 0
62064.13 88 7 1 32
0 89 7 2 0
219.2 90 7 1 23
182.82 91 7 1 13
0 92 7 1 0
0 93 7 0 0
0 94 7 1 0
0 95 7 0 0
0 96 7 0 0
0 97 7 0 0
0 98 7 0 0
0 99 7 0 0
0 100 7 0 0
0 101 7 0 0
0 102 7 0 0
0 103 7 1 0
0 104 7 0 0
0 105 7 0 0
248353.16 1 8 1647 2145
136754.13 2 8 1706 2210
156485.04 3 8 1644 2146
136930.69 4 8 1750 2142
151634.69 5 8 1582 1925
131117.82 6 8 1543 1853
95816.3 7 8 1514 1747
152346.66 8 8 1428 1637
73719.53 9 8 1384 1527
84382.91 10 8 1388 1407
